storm, location, fips, sust_wind_kt, gust_wind_kt, highest
"Don-2011", "Laredo, TX", "48479", 30, NA, TRUE
"Don-2011", "Waldron Field, TX", "48355", NA, 36, TRUE
"Irene-2011", "Cape Lookout, NC", "37031", 75, NA, FALSE
"Irene-2011", "Mayport, FL", "12031", 28, NA, FALSE
"Irene-2011", "Fort Pulaski, GA", "13053", 26, 33, FALSE
"Irene-2011", "Myrtle Beach, SC", "45051", 30, 38, FALSE
"Irene-2011", "North Myrtle Beach, SC", "45051", 28, 43, FALSE
"Irene-2011", "Charleston, SC", "45019", 30, 40, FALSE
"Irene-2011", "Springmaid Pier, SC", "45051", 40, 54
"Irene-2011", "Beaufort, NC", "37031", 48, 61, FALSE
"Irene-2011", "Frisco, NC", "37055", 51, 76, FALSE
"Irene-2011", "Cedar Island, NC", "37031", NA, 100, TRUE
"Irene-2011", "Fort Macon, NC", "37031", NA, 80, FALSE
"Irene-2011", "Oregon Inlet, NC", "37055", 51, 70, FALSE
"Irene-2011", "Duck, NC", "37055", 61, 73, FALSE
"Irene-2011", "Richmond, VA", "51760", 35, 61, FALSE
"Irene-2011", "Williamsburg, VA", "51830", 21, 66, FALSE
"Irene-2011", "Reston, VA", "51059", NA, 48, FALSE
"Irene-2011", "Lorton, VA", "51059", NA, 43, FALSE
"Irene-2011", "Cape Henry, VA", "51810", 48, 57, FALSE
"Irene-2011", "Salisbury, MD", "24045", 40, 53, FALSE
"Irene-2011", "Patuxent River NAS, MD", "24039", 36, 56, FALSE
"Irene-2011", "Chesapeake Beach, MD", "24009", NA, 63, FALSE
"Irene-2011", "Gaithersburg, MD", "24031", NA, 63, FALSE
"Irene-2011", "Herring Bay, MD", "24003", 41, 56, FALSE
"Irene-2011", "Tolly Point, MD", "24003", 45, 60, FALSE
"Irene-2011", "Thomas Point, MD", "24003", 49, 62, FALSE
"Irene-2011", "Cove Point, MD", "24009", 51, 63, FALSE
"Irene-2011", "Georgetown, DE", "10005", 36, 52, FALSE
